questionID,questionTitle,questionText,topic,answerText,upvotes,views
123,I'm overwhelmed and depressed,I'm unemployed just relocated. I can't get approved for a place to live because of past mistakes which follow me to this day. I'm depressed and on the verge of loosing my partner because I'm overwhelmed and have trouble functioning on a daily basis. I see no light at the end of this tunnel and need some help. I see no point in this chaos infested joke some call life.,depression,"It sounds like you are feeling like things are hopeless and out of control and you're not sure what to do about it. If you can find a competent therapist to work with, together you may be able to come up with some strategies for alleviating the overwhelming distress that you are experiencing and gain some insight into what may be contributing to these challenges. Additionally, a therapist may be able to support you in getting back on your feet in regards to work, a place to live, and showing up with your partner in a way that will be more satisfying to you.",1,123
125,Relationships cause me anxiety and nausea,"I am in high school and have been facing anxiety issues lately. Whenever I get close to being in a relationship, some kind of anxiety takes over and keeps me from the relationship. This anxiety causes me depression at times and even makes me want to vomit. While a semi-relationship should be joyous, for me, it’s an emotional nightmare I can’t get to the bottom of. I’ve had this before and had to leave the semi-relationship to avoid throwing up every time I made contact with my crush. What could be the reason behind this? Is it massive nerve problems? Is it a fear of a bad relationship?
   While I’m not quite ready to be in one anyway, I want to get to the bottom of this for a brighter future in which I can be in one. I don’t take medications and have no desire to, I have read forums, and I’ve talked about the issue with my sister who has faced similar problems.",depression,"Hi Helena,I felt a bit sad when I read this. This is a new term for me... ""semi-relationship"". What does it mean? I know that today's culture for young people is more of a ""hook-up"" culture than a dating one. Maybe that means that you develop connections to people but you keep yourself from hoping for a full relationship because no one is doing that anymore. That makes me feel sad. I hear a lot of young women (I'm not sure you're female, but that's my guess) say that they struggle with hook-ups because they can't let themselves hope for a phone call after a hook-up. Research tells us that, after a hook-up, college age women tend to feel used and unworthy, and men tend to feel guilty. I think this scenario works better for men than women, but many of both genders are left unsatisfied in the end.This is only one possible explanation for your anxiety...that your gut knows that it wants to feel fully coupled with someone but you struggle with whether it's okay to want or expect that.Maybe take a moment and listen to anxiety. Anxiety tends to try to convince us that something's wrong with us or something bad's going to happen. Anxiety sometimes prefers to stay vague (it's more difficult to refute it then), but you can try to clarify it's whisperings by asking yourself these questions: What am I afraid of? What is the worst thing that might happen here? Then what might happen, and what would be the worst part of that? Keep going until you find the very worst thing that might happen? Might someone not want you...might you feel rejected...or feel not good enough...you might get hurt?Then when you find that core fear, you can look at your life and I bet you'd find a place where that idea or fear originated. A big moment (or many smaller ones) when you actually DID feel or get rejected or abandoned or hurt. In the end, it's a feeling you're trying to avoid (not life or relationship), and anxiety is trying to help you avoid it by making you overcautious. But this doesn't work for you! Good! With the help of a qualified therapist, you can learn to talk back to anxiety and move forward in life and love with calm. confidence.",1,130
127,I'm scared to go to a doctor or take anti-depressants,"A friend of mine taking psychology advised I go to my doctor to check if I have major depressive disorder. I'm afraid of the consequences of doing so. If I do become diagnosed with major depressive disorder, won’t that go on my records? I will never be able to become a counselor along with a list of other things I may be prohibited from. I’m also afraid of taking any anti-depressants. This year, my doctor gave me some for a ""dislocated hip."" I had a severe reaction and passed out moments after taking them. Everyone I know who has taken anti-depressants says it’s a bad idea all around and you’re better getting treatment without them. I’m concerned they might take me to a clinic and force me to take medication because I am unable to make decisions on my own. I’m not really suicidal, but I am not really taking care of myself either. Someone also told me they still use electroshock therapy. I’m not keen on that. I’m wondering if I am better off just getting self-help and working things out on my own. It’s just that I've been an emotional mess since I was in elementary school. I’ve graduated now and tried to stay positive and be happy, but I cannot deny I still am not good.",depression,"I admire your courage for stating your view about anti-depressants.  Questioning mainstream thinking and being in touch with your own views, are signs of strength and clarity in a person.As a therapist, I always tell my patients to avoid anti-depressants.Their effectiveness is in suppressing a person's mood and feelings.  If someone does not know how they are feeling, then they will have more difficulty in understanding themselves, their uncertainties and hesitations, and overall, how they relate to others and what they expect from others.Anti-depressants mask how someone feels.In a crisis, temporarily taking anti-depressants may be helpful.  If someone is so overwhelmed that they are not functioning, then  suppressing unhappy feelings so that the person can get through a day, may be of benefit for a short while.Basically, respect and follow your own opinion about anti-depressants.   Your view is shared by many.   It is a minority opinion, and very valid. If you would like to shop for a therapist, ask the person on the phone, what their opinions are about anti-depressants.Ideally, you will eventually find a therapist who thinks in a way which is similar to you, or at least similar enough that you will have a sense that you are able to trust working with them on whatever you define as problematic.I hope you will have an easy and productive therapist search!",1,179
132,I'm depressed because my wife is divorcing me and I haven't seen my child in a while,"I'm going through a divorce with my wife of three years, who I've known since the 4th grade and been involved with for seven years! We just had a baby seven months ago and never got along with my mother, who I've lived with for years. I am now back with my mother because I have nowhere to go with this divorce looming. I'm heart broken because I fell into a depression, I haven't seen my child in a while, I'm having good and bad dreams, and I feel hated. Can you help? Can you intervene? Can I speak with someone?",depression,"It's hard to accept the end of a marriage when it's not your choice; you feel powerless, abandoned and unwanted. Your wife has the right to decide not to be in a marriage with you, and a therapist can help you accept and move through this change that has broken your heart and left you lost. You don't indicate why you haven't seen your child, and you may want to consult with a lawyer about the laws in your area and how to gain access to your baby. Therapists don't intervene in these ways. The marriage may be ending, but your role as a loving father is only beginning.  You can focus on giving your child the gift of two parents who respect each other.",0,236
135,Is it possible to get PTSD from being very depressed?,I have manic depression and last summer was very very bad. I have recurring nightmares and I avoid anything that will give me a similar feeling as I did that summer.,depression,"A PTSD diagnosis requires an event which occurred at least 6 months prior to the symptoms.   Depression is a common symptom of PTSD, but depression can come from many other sources as well.  In the end, diagnoses are systems of behavioral labels.  If you believe that one label (PTSD) is worse than another (Depression), you are creating a false hierarchy.   Consider consulting a CBT therapist, such as the fine clinicians listed in AcademyofCT.org.  You may also want to look at my book, Living Yes, for many ideas about challenging your thinking and improving you mood. www.LivingYes.org. I hope you feel better soon.  ~Mark  (www.MarkMorrisLCSW.com and www.LivingYes.org)",0,328
144,Is it normal to cry during therapy?,"I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?",anxiety,"Oh, crying in therapy is very normal! I have a stack of kleenex boxes in my office. Cry away, therapist are very used to it:) First time being in therapy is scary, but you'll soon know if you are a good match.",7,6650
152,How can I make the voices stop?,"I don't remember when the voices in my head started, but I remember Hearing them when I was little.    I know it's not normal to hear voices that aren't your own. I fight the voices and I want them to stop. They've been here so long and I want them gone. How can I make the voices stop?",anxiety,"This isn't something you can do on your own. If you haven't already, you need to see a medical doctor ASAP to rule out medical causes for this. Many diseases, illnesses, and conditions can cause hallucinations. In the elderly, sometimes it's something as simple as a urinary tract infection. Some medicines may have that side effect as well.However, you say you've been hearing them since you were little. I have no idea how old you are now, but something that has been going on for many years does lead me to think it could be a type of schizophrenia. A psychiatrist could diagnose that after taking a complete look at your history, medical history, etc. There are medications that they can put you on that will help. One thing that I find encouraging is that you recognize you're hearing voices. This means you are not so far into a delusion as to believe it is real. A lot of people that hear or see things that aren't there are not able to have the awareness that these things are not real. They fully believe what they're hearing/seeing. It's completely real to them. Because you have the awareness that you do, I feel this is a very good sign that with treatment you can live a normal life (assuming you are not already receiving treatment for it. If you are and are still hearing the voices, please know that medications often need to be changed and adjusted, and the voices may never completely go away but medicines certainly help dull them a lot. Always talk to your doctor when it seems your symptoms are getting worse so that they can make the necessary medication adjustments for you).If at any time the voices are telling you to do something, please go to an ER as this is an emergency. Sometimes people hear voices telling them to harm themselves, harm someone else, or do other things that are against the law. Do not try to deal with something like that on your own. There are people who can help.",0,406
155,"How do I get over ""imposter syndrome""?","I'm dealing with imposter syndrome in graduate school. I know that by all accounts I am a phenomenal graduate student, and that I am well-published. I am well liked by students and faculty alike. And yet I cannot shake the feeling that I'm going to be found out as a fraud.    How can I get over this feeling?",anxiety,"It sounds like you are on the right track. Recognizing these nagging thoughts of self- doubt as ""imposter syndrome"" is a huge step in the right direction.  From what you have written here, it appears that you are able to challenge your own thoughts and provide yourself with evidence that counteracts the imposter syndrome.   Continuing to remind yourself of what you have accomplished and looking at the facts at hand can help diminish doubt.  Remember, many successful people battled imposter syndrome on the way to the top (and still manage it).  It might be helpful to read some of their stories so that you don't feel alone.  ""The Cut"" has a great article on ""25 Famous Women on Imposter-Syndrome and Self-Doubt"".   Business Insider has a great article about men and the imposter syndrome too.  Remember, if you jumped through all of the hoops to get into school and get published-- you belong.",2,299
157,How can I learn to be content and at peace?,"I recently broke up with my boyfriend After being together for over 4 years. I truly believe I did the right thing, but omehow being single now has made me very needy and unsure of myself.
    I am seeing someone casually and I am losing my mind with anxiety about how he feels about me and this need for validation.
   How can I learn to be content and at peace with myself regardless of my career, relationship status, etc?",anxiety,"Possibly you haven't completed your phase of mourning the recently passed relationship and lifestyle which surrounded it.Relationship breakups mean a person's entire life goes through an adjustment since the relationship impacted all areas of your life.Give yourself some patience to restore yourself from the old relationship. When you feel whole again then more than likely you will lose some of the anxiety wondering what your new casual partner feels about you.And instead of wondering,  you may simply decide to ask the person your question!",2,195
161,Why do I always feel like I'm being watched?,"I often get the feeling that I'm being watched, like video cameras are hidden wherever I am, even at home. I feel like people can see all that I do and are reading my thoughts. Things I read or hear on the radio seem to be about (or meant for) me, and people are talking about me when they whisper.",anxiety,"It sounds like you are feeling pretty overwhelmed with worry about being continuously monitored, with no privacy even in your own mind, and as if people are constantly saying things about you in whispers on in the media. It's hard to say from a post online what is at the root of this experience, but you may be able to get insight into that, as well as develop ways of coping with the distress of feeling this way, with the help of a good therapist. There is no pill or technique that can guarantee that this experience will go away, though it might, however, there are things that you can do so that you can understand it better and so that it does not have such an impact on your ability to lead a satisfy life.",1,307
162,"I feel insecure, on edge, and drink too much","I feel insecure in my life. I don't think my wife truly wants our relationship even though she says she does. I have turned to drinking to help relieve my repressed stress about this and other issues. I have had a drinking problem for a few years. I feel the reason I drink is not just because I like to, but because I have lately been on edge. I’ve been very oddly emotional when watching movies that I have been watching for years. I’m paranoid about driving on main roads. I’m very jumpy at the slightest noises.",anxiety,"Given the description you have posted here, it may be time to find someone to work with.  First and foremost, look into working with someone who specializes in working with individuals with challenges surrounding drinking. This would need to be assessed first since if it has been ongoing, it may be making the situation worse and given the time it has been utilized as a coping mechanism, there is reason to believe that the structure of your brain may have been effected as has been demonstrated by current neurological research.  There are however, ways to address this.  As for coping mechanisms, the person you work with should also look at offering you alternatives such as the skills found within the Dialectic Behavior Therapy model (DBT) which has several useful tools to help address the underlying anxiety and difficulty managing emotional regulation.  Mindfulness, another component of DBT should also prove to be useful in both becoming aware of your state of mind and emotional state to allow you to make different choices which has been supported by a growing body of evidence.  There are also other tools designed to help repair damaged relationships.  Well worth looking into.Seeking help is never easy and it is only human to be hesitant given some of the cultural views of working with therapist.  This is a difficult place to be in and one that is not easy to move out of, but sitting on it is not going to help it go away.  Think of it this way, if you broke your arm, would you just wrap it up and hope for the best? or seek out a professional to help you set the break and teach you how to mend the wound.  The same applies here.  Think of it as first aid for the mind.",3,508
163,Why do I throw all my stuff away?,"I constantly have this urge to throw away all my stuff. It’s constantly on my mind and makes me feel anxious. I don’t sleep because I’m thinking about something I can get rid of. I don’t know why I do it. I started years ago when I lived with my dad then I stopped when I moved in with my mom. Years later, it has started again.",anxiety,"Since you wrote that you noticed a change in your throwing away urge when you changed with which parent you lived, would you feel that throwing away things is connected to wanting to be done with certain areas of influence with either parent?Play in your mind with the metaphor of ""throwing away"" and whatever associations you feel toward this.  Are you feeling alarmed or freed, by throwing away things?  I'm only suggesting these, not telling you that they apply necessarily.Anxiety comes up when people feel helpless to manage a meaningful part of their lives.  So pay attention whether your stuff represents difficult scenarios or phases of your growing up years.   Possibly you are trying to rid yourself of painful feelings which were part of your early years' relationship with either parent.Basically, sounds as though you are trying to establish a clearer sense of who you are and the throwing away part is a means of discovering who you are, once all the clutter is released.",1,232
164,How do I open things up with a therapist without fearing judgment and condescension?,"I have several issues that I need to work through. However, I am afraid of and do not trust therapists after a horrible experience. I'm dealing with grief and guilt over losing my sons due to drug use. I have a very complicated traumatic relationship issue that is causing me severe anxiety and fear.",anxiety,"I am sorry that you had this experience. Therapy should be a healthy positive experience off g growth. You have the right to look for certain high qualities in a therapist and finding the right one. Each therapist is bound by a code of ethics and clients should have high expectations. You are trusting them to guide, support and help you achieve the absolute best outcome and success. You should never be or feel judged, and you should feel comfortable and feel as though your therapy process is moving along with YOUR GOALS IN MIND. Speaking as a therapist, I encourage my clients to always let me know how they feel, even if they disagree with me, they also have the right to inform me if something I'm doing simply is not working for them, communication is critical in maintaining a healthy therapeutic alliance/ therapeutic relationship. I'm able to offer ways of thinking and strategies to my clients they may not have thought of. Its important to listen to my clients. It's also critical for clients to feel they can share in a environment that feels safe, non judgmental and confidential.Remember, you are the driver in your healing process, you should be the one in control because you know what your life struggles are. Speaking as a therapist, I'm here to guide my clients toward achieving their goals, encouraging and empowering my clients in what is meaningful to them to achieve. You should feel comfortable speaking your thoughts, my advice would look one who open hearing toy feel, even it's regarding them a therapist. That they are open to feedback.With all of that being said, it will take time to trust again but remember, ask questions and communicate with the next therapist  share  your experience and how it made you feel and that trust and being spoken  in a respectful , non judgemental and non condnscending way is critical for you. Be honest clearly state your expectations from start.  I offer free 50 minute first sessions for clients. The reason. I do this is because I feel that clients deserve opportunity observe the environment, ask me questions and have the opportunity to determine their level of comfort and decide if it's a good fit. Other therapists sometimes offer the similar, try finding one willing to offer a  consultation as that could give you the opportunity to feel things out and set forth expectations.The article below is an excellent article about what to look for in a therapist. It is worth your time reading because you are WORTH FINDING THE BEST HELP AVAILABLE! This article was written based on both evidence from research and clinical experience. I would strongly encourage anyone searching for help to read this and even use it as your guide. I hope this was helpful.https://www.psychologytoday.com/blog/insight-therapy/201603/10-ways-spot-good-therapistLaura Cassity, LMSW, LMAC",0,215
165,What are the best ways to reduce anxiety?,"I have anxieties about everyday stressors, i.e. finances, work, relationships, kids, and maintaining a household.",anxiety,"What are the best ways to reduce anxiety?I have anxieties about everyday stressors, i.e. finances, work, relationships, kids, and maintaining a household.Our everyday life is filled with pressures and deadlines that are common to cause anxiety.   Here are some basic tips to handle those stressors.·         Learn thought stopping techniques: There are multiple ways to teach your brain to refocus.  If you allow your brain to focus on the source of anxiety, the anxiety will be in charge.  But you can learn to put those anxiety-provoking thoughts on a parking lot, and focus on pleasurable thoughts, or the activity that you need to complete on the time being.·         Plan, organize, delegate:  Create a schedule to manage demands, organize priorities, and delegate or share responsibilities.   Work as a team with your family, so you can share the load.   Prioritize actives, shores, and expenses. Focus on the urgent, necessary, and spread apart the not so urgent.·         Identify triggers:  Once you understand what causes your anxiety, you can learn to channel process and refocus your thoughts.  You can also learn coping strategies to manage the problem or give up the desire to control it if needed.·         Learn coping skills:  Having a balanced lifestyle helps tremendously to reduce and manage anxiety symptoms.  Looking at your eating, sleeping, physical activities, spirituality and leisure time is key to find that balance.If you find yourself struggling with anxiety, you can contact a Counselor or mental health provider.  I provide teletherapy for Texas residents and psychotherapy in Puerto Rico, you can reach me at 787-466-5478 for appointments.¿Cuáles son las mejores maneras de reducir la ansiedad?Tengo ansiedad por preocupaciones diarias, como las finanzas, relaciones, niños y mantener mi casa.Nuestra vida está llena de retos y presiones que comúnmente nos causan ansiedad.  Aquí unos consejos básicos para manejar esas preocupaciones.·         Aprende como detener tus pensamientos: Hay múltiples maneras de enseñarle a tu cerebro a reenfocarse.  Si permites que tu cerebro se enfoque en la fuente de ansiedad, entonces la ansiedad se apoderará de ti.  Pero puedes aprender a poner a un lado esos pensamientos que causan ansiedad, y enfocarte en pensamientos positivos, placenteros o simplemente enfocarte en la actividad que estás haciendo. ·         Planifica, organiza, delega: Crea una agenda para manejar las demandas diarias, organizar prioridades y delegar o compartir responsabilidades.   Trabaja en equipo con tu familia, de manera que puedas compartir la carga.  Organiza las actividades, gastos y tareas por prioridad.  Enfócate en lo urgente y necesario y distribuye lo que no es tan vital. ·         Identifica la fuente:  Ya que comprendes donde o qué inicia la ansiedad, puedes aprender a canalizarla, procesarla o reenfocar tus pensamientos. También puedes aprender a manejar la fuente de ansiedad, resolver el problema, o aceptar que no lo puedes controlar, si ese fuera el caso. ·         Aprende mecanismos de defensa: Tener un estilo de vida balanceado ayuda tremendamente a manejar síntomas de ansiedad.  Observar tus patrones de alimentación, descanso, ejercicio, espiritualidad y tiempo de ocio es clave para encontrar el balance. Si notas que continuas batallando con la ansiedad puedes contactar a un consejero profesional de salud mental.   Proveo teleterapia a residentes de Texas y Consejería en Puerto Rico, me puedes contactar al 787-466-5478 para hacer una cita.",1,300
167,I'm worried about my new job,"I just took a job that requires me to travel far away from home. My family and I really need this job.
   People keep telling me I have ""anxiety"" and I'm terrified of having an anxiety attack on the road. This is all new to me. What can I do?",anxiety,"Anxiety can cause such a feeling of discomfort in our bodies that it can seem unbearable. The concern that I can hear in what you have written is that the thought of having some anxiety has now left you uncomfortable with any anxiety at all - and that can become a problem, indeed. As opposed to thinking about your anxiety as something much bigger than you, it could be helpful to start breaking it down. What are the things specifically that cause you anxiety about this new job? Is it being away from your family? If so, why? Once you start breaking down what causes you to feel anxiety into smaller ""mouthfuls"", then we are far better able to understand what has led to discomfort and start to problem solve the issue.",1,2857
168,Can I control anxiety without medication?,I had a head injury a few years ago and my mind races all the time. I have trouble sleeping and have a lot of anxiety. Every medicine I have been on my body rejects; I get sick to my stomach and get blisters in my mouth. How can I calm my self down? I'm a wreck.,anxiety,"You didn't say what or how many medications you've tried. Certain anxiety medications can make you feel nauseous, but I haven't heard of any that cause mouth blisters, so there may be some other underlying medical issue there. I would definitely talk to your primary care physician and whoever has prescribed the medication as well as a neurologist if you've suffered a severe head injury. There are so many medications available for anxiety or insomnia or even depression that there may be others with lesser side effects.But beyond that, have you tried any other treatments such as deep breathing or meditation? Meditation can be very effective, but it takes practice and you don't have to sit cross-legged for hours chanting ""Ohm"" to meditate. It's about focusing on your breath, rather than all the thoughts that are racing through your head. And when they do take your mind off your breath, simply refocus (and refocus and refocus). Like I said, it takes practice, so don't give up. You can find many sites offering different ways to meditate, so look around and see what works best for you. Like medication, you just have to find the one that works best and that might take some experimentation.I hope this helps and best of luck to you.",3,215
169,"How can I deal with my best friend, whom I have a crush on, having a crush on someone else?","I've known my best friend for eight years, and I've slowly begun to form a crush on him. I sort of thought he liked me back until he told me about his actual crush. I have really bad anxiety over this.",anxiety,"That must feel heartbreaking to you.  Where do you think that anxiety comes from?  I would try some self-reflecting to see what comes up there.  Maybe you are worried about losing your best friend, or something completely different.  It's understandable that you would have a lot of feelings in this situation, especially since this person is very close to you.  The dealing with it part is probably going to be pretty tough.   You are processing through circumstances that you probably can't talk to him, your best friend, about.  Do you have anyone else you can talk through it with?  Maybe another good friend or someone that knows the situation?  When we're most in need sometimes we become more aware of who around us can be of help.  A counselor can help here, too if that's an option you are considering or have access to.If he does start leaning on you to talk about his crush, there may be some boundaries that you could consider putting up.  That may mean distancing from him a bit, or telling him how you feel.  That part is all up to what you feel most right doing and what works best for your friendship.  Try to remember that you are not less than just because he may not reciprocate the same romantic feelings you do.  We are all worthy of that kind of love.",1,367
170,How do I get over my anxiety of talking to new people?,"I'm socially awkward. I've always want to be popular. I've had the opportunity to be popular, but every time I get i,t I'm too scared. All I have to do is talk the popular people. They're really nice to me, but I'm too scared of change. I really want to work up the courage to lose my fear.",anxiety,"Talking to people can be pretty scary.  When we talk to people, sometimes we overanalyze what we say or how we react in fear that we will seem weird or they won't like us, which makes us appear awkward.  So that overthinking piece can ironically work against us.When you talk to them, really spend time to listen to what they are saying.  Your default may be to think about how you will respond or what's cool to say, but people like it best (usually) when you are genuine and yourself.  If you focus on what you are paying attention to (them), then you will naturally have a response.  If you can overthink about yourself, you can definitely have some thoughts pop up when talking to other people!Also keep in mind that if the conversations turn out to be less than you'd hoped for, that's OK.  I'm assuming you are in high school, but in any situation with peers, if they don't like you then they aren't worth all your worry and effort.  Give change a chance--you've endured change in your life before this, so let it happen again.  You are in control here--you get to choose who you talk to and don't talk to.  That can be powerful!",0,390
177,How can I overcome social anxiety?,I have a fear of talking with people. I don't like to go out to social events. I'm always worrying about someone judging me.,anxiety,"Thanks for reaching out and asking this question.  Social stuff is hard.  Even for people that don't have diagnosed social anxiety.  Some research outlines that our fear of public speaking is greater than our fear of death.  That's hefty!  Shame is often the culprit for social anxiety because we think other people will see the flaws in ourselves that we believe are there.  I've had experiences where I thought the person thought something awful of me, just to find out it was exactly the opposite.  That's how powerful our minds can be!What are other things that people may think of you?  Maybe you are very kind and easy to talk to.  Maybe you think differently than other people and some people enjoy hearing your perspectives.  It's even a possibility that they are worrying about the same things as you, even if they seem very confident.  Confidence can be easy to fake if it's how you cope with fear.To work through some of that, it's much better to force yourself out there and have conversations.  Avoiding people sends the message to your brain that not only are those situations dangerous (socially), but that you can't handle them.  The more you avoid, the harder it gets and the more anxiety is created by just the thought of being around people.  Take it moment by moment, too.  Thinking about all the conversations you are confronted with in a day is overwhelming.  Just focus on getting through each conversation, and give yourself credit for doing that---even if you felt awkward, embarrassed, etc.  Social skills can be taught at any stage of life, and there's always room for mistakes.  No one in society communicates perfectly and you don't need to put that pressure on yourself.The last thing I'd say is keep at least 1-3 people in your life that feel really good to talk to--like it's not a task.  Talking to acquaintances and random people is not to fulfill a need for close connection (unless you end up finding a great friend), but more to feel like you are definitely able to handle conversations without the threat of crippling anxiety.  You may even get to a place where you enjoy it (sometimes).  Reach out to people in your life if you need extra support!",0,229
186,I keep on changing my life when things get tough,I've been like this ever since I was in school; back then I transferred to another school. Now I'm thinking about changing my job.,anxiety,"There's a quote I love that says, ""Wherever you go, there you are"" and the book by the same name by Jon Kabat-Zinn may be very helpful for you. The thing about changing things up when they get tough is that they often aren't the things that need changing. The awesome (and challenging) thing about it is that when you work on the internal aspects that may need attention, you can learn to find a sense of centeredness that comes with practicing mindfulness and asking yourself who you really are and want to be. Through this deeper work, you can actually be in the midst of chaos and still feel that calm and peace within yourself. If you look for support in this journey from a counselor or therapist, I'd recommend looking for someone offering Acceptance and Commitment Therapy (ACT) or Mindfulness-Based Cognitive Behavioral Therapy (MCBT). Also helpful may be the online program of Mindfulness Based Stress Reduction (MSBR) found here. There are in-person programs across the country, but this online self-guided version is free and a great resource!",1,453
193,How can I get over my fear of public embarrassment?,"A lot of times, I avoid situations where I am to meet new people because I have a fear of embarrassing myself. I often avoid large groups of people, like parties, because I think they all constantly judge me.",anxiety,"Hello, and thank you for your question. First, I want you to know that you are certainly not alone on this issue. Everyone, at some point in time, has a fear of public embarrassment. But for many people, this fear can become so awful that it begins to have a real negative impact on their quality of life.  They will try to avoid any situation that they even THINK will cause them embarrassment or anxiety. Escaping a possible embarrassing moment by avoiding or isolating may cause some relief at first, but then many times the avoidance will eventually lead to loneliness, isolation, and even despair. By avoiding, we can also miss out on things that make us feel alive and bring enjoyment. There are many self-help books that offer advice on this issue. You can do an internet search, and I recommend reading the reviews of the book. That is  great way to find out if others have found the book helpful. Another option is to seek a counselor to help you with this fear. I would recommend a counselor who specializes in helping people who have anxiety or social anxiety. Acceptance and Commitment Therapy is  a good choice for helping with anxiety, but there are many others. The truth is that anxiety and fear of embarrassing ourselves is not something that any of us will ever ""get over"", but we can learn to respond to those feelings differently. A colleague may offer some other advice, as well.. Be wellRobin Landwehr, DBH, LPC, NCC",1,345
198,How can I be less stressed out?,I shake and have panic attacks.,anxiety,"One way to understand panic attacks is as a sign of feeling insecure or lacking confidence in a certain area or characteristic of yourself.The insecurity can sometimes feel overwhelming and this starts the sense of panic. One way to build your sense of security within yourself is to have a simple life and a slow paced life.   When there are many activities or involvements to pay attention, then it is easy to not give full attention to all of them.  This may trigger a sense of insecurity since in fact you may not have had sufficient time to study and know your own opinion about all of what your life is immersed in.A simpler life of fewer activities allows more time to know and understand your own inner feelings and reactions.To know more about yourself may help build your confidence and security in your ability to know and live what goes on in your life!",0,630
202,I don't want to keep going back and forth between my parents' houses,I'm 17 and I'm sick and tired of going back and forth. I'd like to stay at my mother's house. This problem has really affected me. I've had anxiety attacks and suicidal thoughts and self-harm in the past.    Currently I'm going through anxiety and my thearapist is not available. How do I handle this?,anxiety,"Sounds like a lot is going on right now at such a young age. I'd start with discussing with mom your concerns and ideal situation. I'm unsure what prevents you from staying there, but whoever you are staying with, it should be brought to their attention. In regards to your anxiety attacks, deep breathing is always a benefits. I have a link you can use to help to do this online if you are interested. In addition, finding ways you usually cope with anxiety and what's worked before can help and if it isn't, exploring new way to calm you down can be beneficial. This is something you can speak with your therapist about going forward when they are available.In regards to feeling suicidal: I would call suicide prevention hotline (You can google them) if you truly feel the ideation is getting worse. They are professional agents who can speak with you about your ideation and help you through the process. Hope this helps.",1,199
206,I'm not sure if I have social anxiety disorder,I feel too scared to meet people I don't know - even relatives. I don't ever raise my hand or talk in school. I feel like no one understands. How can I handle this?,anxiety,"It certainly sounds like you have some anxiety. Before deciding whether it was social anxiety or a more general type of anxiety, I would wonder what it is that you think will result from you raising your hand or talking to someone you don't know. Here is some information on social anxiety: https://socialanxietyinstitute.org/what-is-social-anxietyI would recommend talking to a local mental health professional. It sounds like your anxiety is affecting your daily life and there are lots of strategies that may help to lessen that.Thanks for being brave to post here.",0,314
207,"Do I text, call, or make contact first, the same day of the morning I left his house?","I've known him for about six years. We've dated off and on. I hadn't seen him in close to three years but recently started seeing him again. I really want this to last this time. I stayed the night. Do I text, call, or make contact first, the same day of the morning I left his house?",anxiety,"It is possible your question reflects some insecurity about whether or not either or you would like this relationship to continue.Otherwise, the answer to your question would appear naturally.  If you genuinely feel close enough to this person to sleep with him, then who texts whom first, wouldn't really matter too much.Try to understand within yourself whether you feel truly interested in this person as much as you would like to feel toward someone.",1,535
211,How can I take my emotional support animal to school?,I have severe anxiety and have tried everything. Everything makes it worst.The only thing that helps is my emotional support animal.,anxiety,"Sorry to read of your suffering.Is it actually permitted that people are able to take support animals to school?I see your point of the animal helping you.  I just also see the point that some people have allergies to animal hair or dander, or may feel distracted by an animal in the classroom.You may end up feeling worse, if when you bring your support animal to school, that it disturbs people or interferes with the routines of the class.For your anxiety, I suggest some loving kindness toward yourself.  Be patient with yourself and that you have anxiety.  If you're able to accept that some situations create great discomfort for you, maybe you'll tolerate these difficult situation.Embrace your anxiety as part of you, basically, rather than trying to banish it, which because it actually is part of you, is impossible to achieve.In a way, I'm suggesting you become your own ""support animal"".  Love yourself, be kind to yourself, and see if you feel a little less stressed in school.",2,303
212,How can I be less afraid of rape?,Why am I so afraid of it? I don't understand.,anxiety,"Your fear is somewhat reasonable.  No one wants to be raped and I imagine everyone is afraid of what being raped would feel like.Do you mean that this fear is on your mind more often than you would like?If this is the case, then try understanding the reason behind your fear.Is it because you personally know or know of someone who was raped?  One general direction of what would help is to regain confidence in your decisions of keeping yourself safe.  The more you trust yourself to avoid social situations with lots of drinking, isolated physical surroundings, and being in isolated locations with someone with whom you're not very familiar, probably your fear will decrease.The other general direction to understand is if in your family history, people have been violated severely, either emotionally, mentally, or physically.In families in which people have suffered severe violations of themselves, often the emotional patterning of expecting to be hurt by others, plants itself very deeply and transmits to the younger generation.Its possible then, that you are suffering from fears established in other family members who have not yet been able to fully understand and accept their own suffering.The good news is that individual therapy, with a credentialed and licensed therapist, is ideal for a safe place to open and clear this type of emotional burden.",2,229
214,Why do I feel like I’m watching my life from a window?,"I never feel like myself. I can’t even think straight anymore. I start stuttering and I can’t remember anything. I always get nervous and usually talk myself down but recently end up fighting with, what feels like, someone else. I don’t know why I feel this way, but I hate it.",anxiety,"Hi Houston, Okay, something's definitely going on, right? My gut is to start with your family physician, because you have some physical symptoms. While it seems anxiety is a likely problem here, your doctor will hopefully know your history and can help you decide if you need some medical tests or some therapy. Without knowing more, that's all I can say at this point. Best of luck.",2,180
